text,date,likes,business_id,user_id
Great breakfast large portions and friendly waitress. I highly recommend it,8/12/15,0,jH19V2I9fIslnNhDzPmdkA,ZcLKXikTHYOnYt5VYRO5sg
Nice place. Great staff.  A fixture in the township forever,6/20/14,0,dAa0hB2yrnHzVmsCkN4YvQ,oaYhjqBbh18ZhU0bpyzSuw
Happy hour 5-7 Monday - Friday,10/12/16,0,dAa0hB2yrnHzVmsCkN4YvQ,ulQ8Nyj7jCUR8M83SUMoRQ
"Parking is a premium, keep circling, you will eventually find a great spot",1/28/17,0,ESzO3Av0b1_TzKOiqzbQYQ,ulQ8Nyj7jCUR8M83SUMoRQ
Homemade pasta is the best in the area,2/25/17,0,k7WRPbDd7rztjHcGGkEjlw,ulQ8Nyj7jCUR8M83SUMoRQ
text,date,0,k7WRPbDd7rztjHcGGkEjlw,ulQ8Nyj7jCUR8M83SUMoRQ
Great breakfast large portions and friendly waitress. I highly recommend it,8/12/15,0,SqW3igh1_Png336VIb5DUA,ulQ8Nyj7jCUR8M83SUMoRQ
Nice place. Great staff.  A fixture in the township forever,6/20/14,0,KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ
Happy hour 5-7 Monday - Friday,10/12/16,0,KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ
"Parking is a premium, keep circling, you will eventually find a great spot",1/28/17,0,KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ
Homemade pasta is the best in the area,2/25/17,0,8qNOI6Q1-rJrvWWD5Btz6w,ulQ8Nyj7jCUR8M83SUMoRQ
text,date,0,8qNOI6Q1-rJrvWWD5Btz6w,ulQ8Nyj7jCUR8M83SUMoRQ
"Sunday $.55 bone-in wings
Monday $.55 boneless wings",8/22/16,0,#NAME?,ulQ8Nyj7jCUR8M83SUMoRQ
There isn't a bad seat in the house!,1/21/17,0,FCUVjQf762no86Uzcbv1Tg,ulQ8Nyj7jCUR8M83SUMoRQ
Nice happy hour m-f 5-7pm and th-fr 10pm-12am,6/13/16,0,Tl_jT2a0bRMac5_YW65GPg,ulQ8Nyj7jCUR8M83SUMoRQ
"Always have something new on the inter menu, love trying new things here :)",6/30/16,0,Tl_jT2a0bRMac5_YW65GPg,ulQ8Nyj7jCUR8M83SUMoRQ
Brisket sandwich not bad but ask for extra napkins it was quite messy and if you like the taste of bbq ask for extra sauce  on the side...burger a little over cooked...nice restaurant  was very clean,10/28/15,0,c5NHHW0sNm7eaQBwvQJkkw,ulQ8Nyj7jCUR8M83SUMoRQ
Double wide does offer free charging stations for phones,2/11/16,0,zJwm3DThV4WUIkyNv68Ahw,ulQ8Nyj7jCUR8M83SUMoRQ
Black Angus and the Roast beef :),12/3/12,0,JzB7NITHQ7gVHGVZ1ntgIQ,TvkqJ8YEIsTb16RnnrNyfQ
"Expensive, but convenient for hotel stays",12/2/12,0,h14GmWZ8rXum9fXF__wt3w,TvkqJ8YEIsTb16RnnrNyfQ
"It's a beautiful day to fly in North Carolina. And now, let's see if we can find us some sweet tea",1/18/12,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
"Cloudy, a bit rainy, but it should be a great day to fly nonetheless",1/20/12,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
Connecting here on way to Philadelphia...finally.,3/31/12,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
Hot here too. Dang!,6/20/12,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
My gold service rate was going to be $100. My AAA is $60! Ask for it,11/12/12,0,yQab5dxZzgBLTEHCw9V7_w,TvkqJ8YEIsTb16RnnrNyfQ
"For Gold members Hertz has a new ""concierge"" service. A guy follows u to ur car to make sure u like it...but they also try 2 sell u upgrade",1/18/12,0,3pQ4KSnOX9Y2IEMJvGFxUg,TvkqJ8YEIsTb16RnnrNyfQ
Negotiated the upgrades. You just might get a good deal,10/9/12,0,3pQ4KSnOX9Y2IEMJvGFxUg,TvkqJ8YEIsTb16RnnrNyfQ
Carfirmations is where it's at,11/14/12,0,3pQ4KSnOX9Y2IEMJvGFxUg,TvkqJ8YEIsTb16RnnrNyfQ
"Finally, found some churros. Four types here. It should be great!",3/28/12,0,xFN8mRubo3G0oIzJwc8XBA,TvkqJ8YEIsTb16RnnrNyfQ
